,subname,task,direction,RMS_mean,RMS_ab_25,RMS_ab_25_invalid
0,HCD2754061,CARIT,AP,0.2906335939678465,0.2206896551724138,False
1,HCD2606652,CARIT,AP,0.13343608629093656,0.15172413793103448,False
2,HCD1156036,CARIT,AP,0.13227054781065065,0.1310344827586207,False
3,HCD1227740,CARIT,AP,0.1336244217301174,0.12758620689655173,False
4,HCD2491257,CARIT,AP,0.10845819363997057,0.09310344827586207,False
5,HCD0026119,CARIT,AP,0.09357804002506974,0.027586206896551724,False
6,HCD1113220,CARIT,AP,0.21595701229744294,0.4586206896551724,True
7,HCD0902343,CARIT,AP,0.22071565352495226,0.2413793103448276,False
8,HCD1976377,CARIT,AP,0.14223214393776012,0.22758620689655173,False
9,HCD1411632,CARIT,AP,0.32469787803144656,0.5586206896551724,True
10,HCD0960458,CARIT,AP,0.06671598269118484,0.034482758620689655,False
11,HCD1756060,CARIT,AP,0.09515531082938505,0.017241379310344827,False
12,HCD2855875,CARIT,AP,0.3343229592926433,0.4,True
13,HCD2068145,CARIT,AP,0.22400742126333098,0.29310344827586204,True
14,HCD1510432,CARIT,AP,0.14658366508971102,0.3103448275862069,True
15,HCD2008329,CARIT,AP,0.1122729487629897,0.06551724137931035,False
16,HCD0051825,CARIT,AP,0.152229030613111,0.1896551724137931,False
17,HCD0478356,CARIT,AP,0.24050250894759617,0.43448275862068964,True
18,HCD1765970,CARIT,AP,0.19914844544671495,0.41379310344827586,True
19,HCD2996590,CARIT,AP,0.17317041345744894,0.27241379310344827,True
20,HCD2046842,CARIT,AP,0.08960068755038912,0.010344827586206896,False
21,HCD2757370,CARIT,AP,0.15200471700953377,0.19310344827586207,False
22,HCD0232223,CARIT,AP,0.1408758083026487,0.1482758620689655,False
23,HCD2449763,CARIT,AP,0.12151885675707122,0.07931034482758621,False
24,HCD1759571,CARIT,AP,0.17622537860538007,0.2517241379310345,True
25,HCD1685164,CARIT,AP,0.11200397202018066,0.05172413793103448,False
26,HCD0889579,CARIT,AP,0.0970023209018355,0.017241379310344827,False
27,HCD0555146,CARIT,AP,0.17357527317231122,0.2620689655172414,True
28,HCD0519849,CARIT,AP,0.2697739650383068,0.5241379310344828,True
29,HCD1886275,CARIT,AP,0.4009213332761868,0.33448275862068966,True
30,HCD2301428,CARIT,AP,0.45050584001066235,0.4827586206896552,True
31,HCD1946873,CARIT,AP,0.1912652032914949,0.23103448275862068,False
32,HCD2523345,CARIT,AP,0.10925736650682256,0.04827586206896552,False
33,HCD0848060,CARIT,AP,0.13207667000267065,0.11724137931034483,False
34,HCD0752855,CARIT,AP,0.07336318578614077,0.0034482758620689655,False
35,HCD2462654,CARIT,AP,0.09828349675362325,0.034482758620689655,False
36,HCD0383143,CARIT,AP,0.11131836032767924,0.04827586206896552,False
37,HCD1400728,CARIT,AP,0.09078546871989998,0.03103448275862069,False
38,HCD0248440,CARIT,AP,0.11733153466409665,0.0896551724137931,False
39,HCD0311118,CARIT,AP,0.12421827723138884,0.12758620689655173,False
40,HCD2365454,CARIT,AP,0.266069028407773,0.27241379310344827,True
41,HCD1501936,CARIT,AP,0.0934299977840881,0.0,False
42,HCD0403224,CARIT,AP,0.14299377035725327,0.2689655172413793,True
43,HCD1013014,CARIT,AP,0.05535459764351327,0.0,False
44,HCD1886881,CARIT,AP,0.1720042957440962,0.33793103448275863,True
45,HCD1856468,CARIT,AP,0.3510217912176962,0.4241379310344828,True
46,HCD2499576,CARIT,AP,0.11637101250319858,0.07586206896551724,False
47,HCD0135831,CARIT,AP,0.19246298712119203,0.32068965517241377,True
48,HCD0271031,CARIT,AP,0.1361471080249854,0.09310344827586207,False
49,HCD1181843,CARIT,AP,0.1560890117631921,0.20344827586206896,False
50,HCD2594671,CARIT,AP,0.11686557263344381,0.09310344827586207,False
51,HCD1756262,CARIT,AP,0.08895549607711745,0.027586206896551724,False
52,HCD1870159,CARIT,AP,0.13285840140166466,0.16896551724137931,False
53,HCD0822850,CARIT,AP,0.09462092898544829,0.034482758620689655,False
54,HCD2786074,CARIT,AP,0.19477136361846334,0.3896551724137931,True
55,HCD1277149,CARIT,AP,0.34459714438089156,0.7448275862068966,True
56,HCD0616342,CARIT,AP,0.08252144848066828,0.017241379310344827,False
57,HCD1411935,CARIT,AP,0.12329083435497633,0.1103448275862069,False
58,HCD1668164,CARIT,AP,0.2089599466255227,0.4724137931034483,True
59,HCD2383658,CARIT,AP,0.0940714288251317,0.03103448275862069,False
60,HCD0641341,CARIT,AP,0.23081129207949191,0.24482758620689654,False
61,HCD1978987,CARIT,AP,0.21078068649905965,0.4689655172413793,True
62,HCD0193845,CARIT,AP,0.2695042495653406,0.5379310344827586,True
63,HCD1783366,CARIT,AP,0.1363049103158842,0.19655172413793104,False
